school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,T,4,3,other,other,reputation,mother,3,2,0,no,yes,yes,no,yes,no,yes,no,4,5,3,1,4,4,4,1,2,0
GP,F,18,U,GT3,A,4,3,services,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,3,3,2,4,1,11,12,10
GP,M,16,R,GT3,T,2,2,other,services,reputation,mother,1,3,2,no,yes,yes,yes,yes,yes,yes,no,4,3,3,3,3,5,0,3,5,5
GP,F,17,U,GT3,A,4,1,teacher,other,reputation,mother,1,2,0,no,yes,yes,no,yes,no,no,yes,4,2,5,1,3,5,1,15,12,10
GP,M,16,U,LE3,T,4,2,services,services,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,3,1,2,2,5,4,9,8,10
GP,M,18,U,LE3,T,2,3,other,health,course,mother,1,2,1,yes,yes,no,no,yes,yes,yes,no,4,3,2,1,2,4,7,11,11,7
MS,F,18,U,GT3,T,3,4,other,at_home,reputation,father,3,2,0,no,yes,no,no,no,yes,yes,no,3,3,2,1,2,1,10,11,10,10
GP,F,15,R,GT3,T,4,4,at_home,health,reputation,father,1,3,1,no,yes,yes,yes,yes,yes,yes,yes,3,3,2,1,2,3,7,7,9,7
GP,F,17,R,GT3,T,3,4,at_home,other,course,other,1,2,0,no,no,no,yes,no,no,yes,no,3,5,3,1,3,4,3,11,13,14
MS,F,18,U,GT3,T,3,2,other,at_home,course,father,1,3,0,no,no,no,yes,yes,yes,no,no,4,2,5,3,1,4,15,12,10,10
GP,M,17,U,GT3,T,2,3,teacher,health,home,father,2,4,0,no,yes,no,yes,yes,yes,yes,yes,5,3,4,1,5,5,1,18,19,17
GP,F,19,U,GT3,T,3,4,other,services,reputation,other,2,2,0,no,yes,yes,no,yes,yes,no,no,5,4,2,3,4,5,28,16,17,14
MS,M,18,U,GT3,T,0,3,services,other,other,mother,1,1,1,no,yes,no,yes,yes,no,no,no,4,4,4,3,1,4,1,6,6,5
GP,M,16,U,GT3,T,2,2,services,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,2,2,1,2,5,2,8,9,10
GP,F,15,U,LE3,T,4,2,other,teacher,course,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,5,2,3,5,0,9,9,4
GP,M,16,U,GT3,T,4,1,other,services,other,mother,1,1,2,no,no,no,no,yes,yes,yes,yes,3,3,2,1,4,5,2,11,10,0
GP,F,15,R,GT3,T,4,3,health,services,course,father,1,2,0,yes,yes,no,no,no,yes,yes,no,5,3,1,2,1,5,3,8,10,10
MS,F,17,R,GT3,T,3,3,other,other,reputation,father,3,3,1,no,no,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,12,10,11
GP,F,17,R,GT3,T,3,2,teacher,teacher,other,father,1,2,0,no,yes,no,no,no,no,yes,no,4,3,5,1,2,5,4,11,11,14
GP,M,17,U,GT3,T,2,4,services,health,course,father,2,2,0,no,yes,no,no,yes,yes,no,no,4,2,2,4,3,3,0,12,13,10
MS,F,19,R,GT3,T,4,3,other,other,reputation,father,2,2,0,yes,no,yes,no,yes,yes,yes,yes,5,2,4,1,1,4,21,11,13,13
GP,F,16,U,GT3,T,2,3,at_home,other,reputation,other,2,4,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,3,1,3,5,0,15,13,17
MS,F,17,U,GT3,T,3,3,other,services,reputation,father,1,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,5,5,2,12,14,12
GP,F,15,U,GT3,T,4,3,teacher,other,course,father,3,4,3,no,yes,no,no,yes,yes,yes,no,4,1,4,1,1,3,4,10,10,9
MS,M,17,U,LE3,T,4,4,teacher,at_home,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,4,3,3,2,4,3,13,9,8
GP,M,17,U,LE3,A,2,3,at_home,health,reputation,mother,1,3,3,no,yes,yes,yes,no,yes,yes,no,5,3,5,3,4,4,5,2,3,1
MS,F,16,U,GT3,T,4,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,3,2,1,5,5,6,7,9
MS,F,17,R,GT3,A,3,4,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,3,2,0,9,12,14
MS,F,17,U,LE3,T,2,4,at_home,services,home,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,yes,4,2,5,1,2,5,2,7,8,6
GP,M,16,U,GT3,T,3,4,other,teacher,other,father,2,1,0,yes,yes,yes,no,yes,no,yes,no,4,3,2,2,1,4,4,8,8,8
GP,F,17,U,GT3,T,4,3,other,health,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,3,1,3,3,3,18,19,19
MS,F,20,U,LE3,T,2,2,at_home,other,course,mother,2,3,0,yes,yes,no,no,yes,yes,yes,yes,2,2,4,1,1,5,27,3,4,5
GP,F,15,U,LE3,T,3,1,at_home,other,reputation,father,2,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,5,1,5,5,3,4,2
GP,F,18,U,GT3,T,4,3,teacher,other,other,other,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,2,2,6,16,17,16
MS,M,16,R,LE3,A,4,2,teacher,services,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,2,3,1,5,3,7,8,8,7
GP,M,16,R,LE3,T,2,2,at_home,other,home,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,2,1,1,2,2,8,9,8
MS,F,17,U,LE3,T,4,2,services,other,other,other,1,2,2,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,2,3,1,11,12,12
GP,F,16,U,GT3,T,4,3,other,services,course,other,2,2,0,no,no,no,yes,yes,yes,no,yes,5,2,2,1,4,4,4,5,5,7
GP,F,15,U,GT3,T,2,4,health,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,4,2,1,1,5,2,12,11,10
GP,M,17,U,GT3,T,2,3,teacher,at_home,course,father,3,1,0,no,yes,no,no,no,no,yes,no,1,3,5,2,4,3,2,8,7,9
MS,M,16,U,GT3,T,4,4,other,services,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,1,2,1,14,13,12
GP,F,18,U,GT3,T,4,4,teacher,other,reputation,father,2,4,1,yes,yes,yes,no,yes,yes,yes,no,4,3,3,4,4,5,1,8,9,8
GP,M,17,R,GT3,A,4,3,other,health,other,father,2,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,1,2,4,10,12,12,13
GP,M,18,U,LE3,T,2,2,teacher,services,reputation,mother,1,3,1,no,no,yes,yes,yes,yes,no,no,5,5,4,1,1,4,10,3,1,1
GP,M,16,R,GT3,T,1,3,at_home,other,home,mother,2,1,3,no,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,2,9,7,8,9
GP,F,16,R,LE3,T,1,3,teacher,services,reputation,mother,2,3,0,no,no,yes,yes,yes,yes,no,yes,4,4,3,1,1,3,11,9,7,7
GP,M,16,R,LE3,T,3,4,other,other,course,father,3,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,2,4,13,10,9,8
GP,M,18,R,LE3,T,4,2,other,services,other,other,1,4,0,no,yes,yes,no,yes,yes,yes,no,3,2,4,1,2,2,8,12,11,12
GP,M,16,R,LE3,T,0,4,health,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,2,1,3,1,12,10,12
MS,M,18,U,GT3,T,4,1,other,services,home,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,12,11,11
GP,F,17,U,LE3,T,2,3,other,services,reputation,father,2,2,0,no,no,yes,no,yes,yes,yes,no,5,3,4,1,2,4,16,3,2,3
GP,F,18,R,GT3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,2,2,3,1,4,5,2,10,11,10
MS,F,17,U,LE3,T,2,4,teacher,other,other,father,2,2,2,no,yes,yes,no,no,yes,yes,yes,5,3,4,1,4,5,12,0,2,3
GP,F,16,U,GT3,T,2,2,at_home,other,home,father,2,1,1,yes,no,yes,no,yes,yes,yes,yes,3,3,5,1,2,5,0,8,5,6
GP,F,17,U,GT3,T,4,1,at_home,teacher,reputation,father,1,2,1,no,no,yes,yes,yes,yes,no,no,2,4,4,1,1,3,11,9,10,9
MS,M,15,R,LE3,T,2,4,other,other,home,mother,2,2,2,no,yes,yes,yes,no,yes,yes,no,4,2,2,3,2,4,1,8,9,8
GP,F,15,U,GT3,A,1,3,other,services,reputation,mother,2,2,0,yes,yes,no,yes,no,no,no,yes,3,3,3,1,5,1,4,10,8,8
GP,F,18,U,GT3,T,4,4,services,other,other,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,no,2,3,3,1,1,5,0,10,11,11
GP,F,19,U,GT3,T,2,4,teacher,other,other,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,2,2,1,1,4,3,11,11,9
GP,F,17,R,LE3,T,4,4,other,other,course,mother,4,2,2,no,yes,no,no,yes,yes,yes,no,3,5,4,1,3,5,1,7,7,6
MS,M,18,U,LE3,T,1,4,other,services,other,father,3,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,5,1,1,5,2,11,15,14
MS,M,16,R,LE3,T,2,4,health,other,home,other,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,4,7,8,9,9
GP,F,15,U,LE3,T,4,3,services,services,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,3,2,1,1,1,4,12,14,11
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,3,2,3,1,3,2,8,6,7
GP,F,16,U,GT3,T,4,3,services,other,other,mother,2,1,1,no,yes,yes,yes,yes,yes,yes,no,5,3,2,5,4,5,0,8,9,7
GP,F,17,R,GT3,T,3,2,at_home,services,home,mother,2,3,0,no,yes,yes,yes,no,yes,yes,no,5,5,3,2,2,5,2,14,13,12
GP,F,17,U,LE3,T,2,2,at_home,services,reputation,mother,3,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,4,3,3,5,10,8,7,9
GP,F,16,R,GT3,T,2,3,other,services,home,mother,2,4,3,no,yes,yes,no,yes,yes,no,no,4,4,3,1,2,4,13,11,10,7
MS,F,17,R,LE3,T,2,4,services,teacher,other,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,3,5,12,10,11
GP,F,19,U,LE3,A,4,4,at_home,other,other,father,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,3,2,1,14,11,11
GP,M,16,U,LE3,T,2,2,other,health,reputation,father,1,2,0,yes,no,yes,yes,yes,yes,no,yes,4,2,2,1,4,5,12,9,7,10
MS,M,17,R,LE3,T,1,4,at_home,teacher,reputation,father,2,2,0,no,yes,yes,no,yes,yes,yes,yes,5,4,4,1,2,4,3,15,15,15
MS,M,18,U,GT3,T,3,4,services,health,other,other,1,1,2,no,yes,yes,no,no,no,yes,no,5,3,5,2,3,5,7,7,5,7
GP,F,17,U,GT3,T,4,4,teacher,services,reputation,other,2,2,1,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,3,4,6,16,18,17
GP,F,15,R,GT3,T,3,3,other,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,1,4,1,1,5,0,12,12,16
MS,F,17,U,LE3,T,4,2,teacher,other,home,father,2,1,0,no,no,yes,no,yes,yes,yes,no,4,2,1,1,1,2,2,14,14,14
GP,F,17,R,GT3,T,3,3,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,no,yes,4,5,4,1,1,5,0,7,6,9
GP,M,17,U,GT3,T,3,2,other,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,4,2,1,3,5,1,15,15,17
GP,F,19,U,LE3,T,3,2,other,teacher,home,mother,4,1,0,no,yes,yes,yes,yes,yes,no,no,5,3,4,3,1,3,0,20,20,20
GP,F,18,U,GT3,T,3,3,at_home,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,4,1,4,4,9,11,10,9
GP,F,17,R,LE3,T,3,3,at_home,health,course,father,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,2,4,2,14,14,12
GP,M,17,U,GT3,T,2,4,services,services,reputation,mother,2,3,0,no,no,yes,yes,yes,yes,yes,no,2,3,3,2,2,3,1,13,14,12
MS,F,16,U,GT3,T,3,1,services,other,other,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,4,5,3,1,3,5,1,6,2,6
GP,F,16,U,GT3,T,2,2,other,teacher,reputation,mother,4,2,0,no,no,no,yes,yes,yes,yes,yes,5,2,2,2,5,5,4,8,7,9
MS,F,16,R,GT3,T,4,1,teacher,services,course,father,1,1,0,no,no,yes,yes,no,yes,yes,no,5,5,3,5,3,4,2,4,5,7
GP,M,15,U,GT3,T,3,4,teacher,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,1,2,4,11,10,11,10
GP,M,17,R,GT3,A,4,3,services,health,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,2,4,1,13,13,12
GP,F,17,U,GT3,T,1,1,health,other,home,father,1,4,1,no,yes,no,no,yes,yes,yes,yes,2,3,3,2,3,5,1,14,13,14
MS,M,17,U,GT3,T,3,3,services,teacher,home,mother,2,1,0,no,no,yes,yes,yes,yes,no,no,3,4,3,4,1,5,2,10,10,8
MS,M,16,R,GT3,T,4,3,services,teacher,reputation,other,1,3,1,no,no,no,yes,yes,yes,yes,no,4,4,4,1,3,5,12,11,12,12
GP,F,16,R,GT3,T,2,4,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,1,3,3,20,20,19
GP,F,16,U,GT3,T,4,2,other,other,home,mother,4,1,0,no,no,no,no,no,yes,yes,no,5,3,3,2,1,2,6,15,15,17
MS,F,15,U,GT3,T,2,3,services,at_home,course,father,2,1,0,yes,no,yes,yes,no,no,yes,no,3,3,5,2,4,4,2,6,3,5
MS,M,18,R,GT3,T,4,4,at_home,health,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,3,4,10,11,9
GP,F,15,U,LE3,T,4,2,other,health,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,3,5,4,1,2,2,5,6,8,8
MS,F,15,R,GT3,T,3,3,services,health,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,3,3,4,11,13,10
GP,M,16,R,GT3,T,2,3,teacher,services,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,1,1,3,5,10,9,13
GP,F,18,R,LE3,T,2,3,services,teacher,home,mother,2,1,0,yes,no,yes,no,no,yes,yes,no,4,5,5,1,1,2,12,10,13,9
GP,F,15,R,GT3,T,3,2,other,other,other,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,1,4,4,1,13,12,10
GP,M,18,R,GT3,T,2,4,services,other,reputation,father,2,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,2,5,28,1,4,4
GP,F,17,R,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,yes,yes,no,yes,yes,2,3,5,1,2,5,3,6,8,10
GP,M,16,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,yes,no,yes,no,no,yes,3,2,3,2,1,4,6,14,14,16
GP,F,15,U,GT3,T,2,1,health,other,other,other,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,4,1,5,5,4,9,12,11
MS,M,18,U,LE3,T,4,4,health,other,other,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,2,1,5,1,7,7,8
GP,M,15,U,GT3,T,2,3,other,services,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,1,4,5,1,9,9,10
MS,M,15,U,LE3,T,4,1,services,other,other,other,1,2,0,no,yes,yes,no,yes,no,yes,yes,5,5,3,1,2,5,12,15,17,15
GP,M,18,U,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,no,yes,5,3,2,2,4,4,1,17,19,18
GP,M,17,U,LE3,T,3,4,services,teacher,course,mother,1,3,1,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,4,8,13,12,12
GP,M,17,U,GT3,T,4,4,other,services,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,4,1,2,3,5,2,8,10,7
GP,F,17,U,GT3,T,3,3,at_home,teacher,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,5,5,3,2,3,4,11,12,10
GP,M,19,U,LE3,T,4,4,services,other,reputation,mother,1,1,1,yes,no,no,no,yes,yes,yes,no,3,3,3,4,1,4,2,13,14,13
MS,M,15,U,GT3,T,2,4,teacher,at_home,home,other,3,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,3,1,1,3,5,9,8,7
GP,M,15,U,LE3,T,3,3,health,services,home,father,1,4,1,no,yes,no,no,yes,yes,yes,no,2,5,5,1,2,5,5,15,17,18
GP,F,17,U,GT3,T,3,1,teacher,other,course,father,2,1,1,yes,no,yes,no,yes,yes,yes,yes,4,4,3,1,5,4,3,13,16,13
GP,F,15,U,GT3,T,4,3,health,at_home,other,mother,1,2,0,no,yes,yes,yes,no,yes,no,no,3,2,3,1,1,5,0,18,16,14
GP,M,17,R,GT3,A,4,1,teacher,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,3,3,4,0,9,10,9
GP,F,17,R,GT3,T,3,4,other,other,other,mother,1,2,1,no,no,yes,yes,no,yes,no,no,4,2,2,4,1,4,2,1,0,0
MS,F,17,R,LE3,T,3,2,other,services,home,father,4,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,5,4,1,2,2,0,8,7,6
MS,F,17,R,GT3,A,4,3,teacher,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,2,2,1,5,5,2,13,14,14
GP,M,17,U,GT3,T,2,4,services,health,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,3,3,1,1,3,12,14,15,14
GP,F,18,U,GT3,T,4,1,services,other,course,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,2,3,2,3,2,5,5,8,9,6
MS,F,17,U,GT3,T,3,2,other,teacher,reputation,father,1,2,3,no,no,no,yes,yes,yes,yes,yes,5,5,1,1,2,1,6,2,2,5
MS,M,18,U,GT3,T,4,3,services,services,reputation,mother,2,3,0,yes,yes,yes,no,yes,no,yes,no,4,3,3,1,5,3,7,11,10,10
GP,M,17,R,GT3,T,4,2,at_home,services,home,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,3,4,2,9,9,11
GP,M,16,U,LE3,T,3,4,services,other,course,mother,1,2,0,yes,no,no,no,yes,yes,yes,yes,2,4,1,1,3,5,2,7,7,5
GP,F,19,U,GT3,T,4,2,services,other,home,mother,2,1,0,no,no,yes,no,yes,yes,yes,yes,3,3,3,1,1,4,7,16,15,15
GP,F,18,U,LE3,T,3,1,at_home,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,1,2,8,8,9
GP,F,16,U,LE3,T,3,3,health,services,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,5,1,2,1,5,4,8,16,16,18
GP,M,16,U,LE3,T,4,3,other,services,course,father,1,2,2,no,yes,yes,no,yes,yes,yes,no,1,5,4,2,2,3,4,11,13,12
GP,M,15,U,GT3,A,1,4,services,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,13,13,13
GP,M,17,U,LE3,T,2,2,other,services,home,mother,1,3,1,no,yes,no,no,yes,no,yes,no,5,3,3,1,1,5,2,12,13,12
MS,M,15,U,GT3,T,1,4,services,services,home,mother,2,1,0,no,no,no,yes,no,yes,yes,no,4,3,2,2,2,5,8,14,14,13
GP,M,18,R,GT3,T,3,3,at_home,at_home,course,father,3,3,0,no,yes,yes,yes,yes,yes,yes,no,1,4,4,1,4,2,14,13,13,13
GP,M,17,U,LE3,T,4,3,services,services,course,mother,3,1,3,no,yes,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,0,13,9,8
MS,F,16,U,GT3,T,4,3,services,other,home,other,2,2,0,yes,yes,yes,no,yes,yes,yes,no,3,4,4,2,3,5,7,11,12,8
GP,F,16,R,LE3,T,1,1,services,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,2,3,2,2,4,5,3,13,12,10
GP,F,16,U,GT3,T,3,3,other,at_home,reputation,father,1,2,3,no,no,no,yes,no,yes,yes,no,4,3,5,1,2,4,2,11,13,13
GP,M,18,U,LE3,T,3,3,at_home,services,home,other,2,1,0,no,no,no,no,yes,yes,yes,no,4,4,2,1,2,3,2,12,10,10
GP,M,17,R,LE3,T,3,1,services,other,reputation,father,2,2,1,yes,yes,no,yes,yes,yes,no,yes,4,4,3,1,5,4,0,12,9,10
MS,M,16,U,GT3,T,4,3,other,other,home,other,1,3,0,no,no,no,yes,yes,yes,yes,no,5,3,1,2,3,4,1,8,7,7
GP,F,15,U,LE3,A,3,2,at_home,at_home,reputation,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,3,3,1,2,4,5,12,12,12
GP,M,16,R,GT3,T,2,3,health,teacher,home,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,4,2,9,9,6
GP,M,19,R,GT3,T,2,3,other,services,course,mother,1,1,2,no,yes,no,no,no,yes,yes,no,4,3,1,1,1,4,0,3,2,3
MS,M,18,U,GT3,T,4,2,other,other,other,mother,3,2,0,no,yes,yes,no,yes,yes,no,no,5,3,4,1,1,5,1,11,11,12
GP,F,18,R,GT3,T,2,3,other,other,other,mother,2,1,0,no,yes,yes,yes,yes,yes,no,yes,3,3,1,1,3,2,14,6,7,8
GP,F,15,R,LE3,A,2,3,health,services,reputation,mother,1,2,0,no,no,no,no,no,yes,yes,no,4,4,5,2,1,5,0,10,10,11
GP,F,16,U,LE3,T,1,1,at_home,other,home,mother,2,1,0,yes,no,yes,no,yes,yes,yes,no,5,3,3,1,3,3,4,10,12,10
GP,M,17,U,GT3,T,4,3,at_home,other,course,father,3,1,0,no,no,yes,no,yes,yes,yes,no,5,4,5,4,5,3,2,3,4,7
MS,M,18,U,LE3,T,3,3,services,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,no,yes,5,3,4,1,5,4,1,14,15,16
MS,F,17,R,LE3,T,4,1,teacher,services,home,father,4,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,1,3,9,13,14,14
MS,M,17,U,GT3,T,4,2,services,services,reputation,father,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,9,14,14,12
GP,F,17,R,GT3,T,3,3,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,1,2,3,6,6,6,6
GP,M,17,U,GT3,T,1,4,other,at_home,course,mother,1,2,1,no,yes,yes,no,yes,yes,yes,yes,3,5,2,2,3,4,9,9,9,11
MS,M,18,U,GT3,T,4,4,other,other,home,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,2,5,3,1,5,5,1,10,10,11
GP,F,15,U,LE3,T,1,3,health,other,reputation,father,1,2,3,yes,no,no,yes,yes,yes,yes,no,4,4,4,4,1,5,10,5,6,0
MS,M,18,U,GT3,T,4,1,at_home,services,other,father,1,2,3,no,no,yes,no,no,yes,no,no,3,2,3,1,2,2,8,4,6,0
GP,F,17,U,LE3,T,1,2,services,teacher,other,mother,2,2,1,no,no,no,no,yes,no,yes,no,5,3,4,1,2,4,4,8,8,9
GP,M,15,R,GT3,T,4,2,at_home,at_home,reputation,other,1,2,3,yes,no,yes,no,yes,no,yes,yes,4,2,2,1,3,5,9,4,5,5
GP,F,18,R,GT3,T,2,3,at_home,services,home,father,2,1,2,no,no,yes,yes,yes,no,yes,yes,4,3,2,1,2,4,16,8,10,9
GP,M,17,U,GT3,T,2,3,services,other,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,no,4,2,3,1,3,3,1,12,13,12
GP,M,17,U,LE3,T,4,2,services,other,course,mother,2,4,1,no,no,yes,yes,no,yes,no,no,4,3,3,3,1,5,1,9,11,7
GP,M,16,U,GT3,T,2,2,at_home,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,5,4,1,7,7,6
MS,M,17,U,GT3,T,4,3,other,other,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,3,3,5,3,9,8,8
GP,F,19,R,GT3,T,3,3,other,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,5,5,1,5,0,11,12,11
GP,F,16,U,GT3,T,4,4,other,services,home,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,1,2,5,4,19,17,20
GP,M,17,U,GT3,T,2,4,other,at_home,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,4,1,9,8,10
